model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
clogit,1,5,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,5,10,0.3,3,1,1,4595,-0.34254863491307513,0.05939929047559524,0.43543844267325654,0.527094668117519,0.36040090808098507,12264.406243411255,0.15499427655677656,0.12308302808302808,0.31076518620268623,0.2350140415140415,0.1673871336996337,1.111111111111111e-4,5.793650793650794e-4,4.945054945054945e-4,0.0070756257631257626,4.957264957264957e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,5,10,0.3,3,1,1,4595,-0.34254863491307513,0.059399290475595244,0.8141532902938717,0.050707290533188246,0.08631857161565742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,10,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,10,10,0.3,3,1,1,4595,-0.35190657313490914,0.050041352253761266,0.41549119880025415,0.45788900979325353,0.2928600423192531,12197.80327625845,0.07556323567643226,0.12849532165747335,0.25506687760983426,0.25957413074827934,0.2588082079384324,0.0018688510491916064,0.001855974699821449,0.0038182865251363703,0.012478088324644053,0.002471025770754873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,10,10,0.3,3,1,1,4595,-0.35190657313490914,0.050041352253761245,0.8135240877335583,0.04504896626768226,0.07582890854434227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,25,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,25,10,0.3,3,1,1,4595,-0.34407069188834144,0.05787723350032896,0.42367958142020057,0.5993471164309031,0.3921088838725552,12188.731640374634,0.13949580700735129,0.14120570280358777,0.2333810134745927,0.1969229374249313,0.14467584913260811,0.031214199874411545,0.027791243775580496,0.020583458002390562,0.04160759789229132,0.023122190612254886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,25,10,0.3,3,1,1,4595,-0.34407069188834144,0.05787723350032894,0.8140436588690958,0.03960826985854189,0.06552053711757555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,50,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,50,10,0.3,3,1,1,4595,-0.3523481408998086,0.049599784488861806,0.416476694551186,0.6578890097932535,0.457488910890549,12163.329188722222,0.10389695132182705,0.14103335221652916,0.15443320647836006,0.1414766660127424,0.13727821437377033,0.09816062074017672,0.07012351542546055,0.024988276919155065,0.07156354702918562,0.057045649482793045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,50,10,0.3,3,1,1,4595,-0.3523481408998086,0.04959978448886179,0.8134970454824497,0.0367791077257889,0.06562912927770453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,2,5,10,0.3,3,1,1,4360,-0.016077566956816107,0.2795739250485832,0.7099034295926224,0.4080275229357798,0.3538316991461326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,2,5,10,0.3,3,1,1,4360,-0.2642299958087844,0.03142149619661489,0.3002747971093434,0.38830275229357797,0.2760125300926274,11914.886991894411,0.24910936285936286,0.21288253413253413,0.17700646575646575,0.19372502497502497,0.16526501276501276,2.579365079365079e-4,4.945054945054945e-4,2.777777777777778e-4,2.4725274725274725e-4,7.341269841269841e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
