model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
clogit,1,5,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,5,10,0.3,3,1,1,4595,-0.3461318738334876,0.055816051555182794,0.4402260571555924,0.402829162132753,0.29658241302972504,12243.870340057163,0.13478143274853802,0.0674232886136911,0.2628580724687536,0.26456401215456943,0.19718021155830753,0.06660357183809196,0.0021629901960784313,0.001419311145510836,0.0016870915032679739,0.0013200177731911478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,5,10,0.3,3,1,1,4595,-0.3461318738334876,0.055816051555182794,0.8138997088084896,0.045266594124047876,0.07588812637844816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,10,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,10,10,0.3,3,1,1,4595,-0.34905734575938846,0.05289057962928192,0.4266542817530859,0.5669205658324266,0.3813135904509724,12213.800545098698,0.15892550876625955,0.0751658842461861,0.35722926802299865,0.13713914436669855,0.1910823946650185,0.005315223311546841,0.0026426226923517947,0.02012044613166904,0.049046009631922946,0.0033334981653480103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,10,10,0.3,3,1,1,4595,-0.34905734575938846,0.052890579629281925,0.8137043184110889,0.04439608269858542,0.07306763354356238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,25,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,25,10,0.3,3,1,1,4595,-0.345311170566474,0.05663675482219642,0.42121700232841436,0.739499455930359,0.5159911506447727,12223.713283132432,0.08440285653132305,0.08739374743182708,0.2433992197039664,0.20262349335186547,0.13654197144098268,0.04275601140720134,0.057425320558003784,0.020363610851216775,0.09132494056728607,0.033768828156327334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,25,10,0.3,3,1,1,4595,-0.345311170566474,0.0566367548221964,0.8139564032453598,0.04178454842219804,0.07041500033455345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,50,10,0.3,3,1,1,4595,-0.0731739497444073,0.3287739756442631,0.9004832392715685,0.32752992383025026,0.3198408375716534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
